Borehole ID,Document ID,Sub Borehole Layer,Latitude,Longitude,Top Depth,Bottom Depth,Description,USCS,Lithology,Distance_km,Color,Elevation,md
1,342,1,47.57425072,-122.4070512,0.0,1.200000048,"Duff and roots over loose, dark brown, silty fill, moist to wet",PT,Fill,14.121599253813711,blue,47,0.0
1,342,2,47.57425072,-122.4070512,1.200000048,2.700000048,"Soft, gray-brown, mottled, very fine, sandy silt with a trace of clay, moist to wet",ML,Sandy silt,14.121599253813711,blue,47,1.200000048
1,342,3,47.57425072,-122.4070512,2.700000048,8.0,"Very stiff to hard, gray-brown, silt with some very fine sand, damp to moist, thinly bedded, mottled on bedding",ML,Silt,14.121599253813711,blue,47,2.700000048
2,342,1,47.5741766,-122.4070567,0.0,0.800000012,"Duff, topsoil and roots, moist",PT,Topsoil / vegetation,14.123470815594867,blue,47,0.0
2,342,2,47.5741766,-122.4070567,0.800000012,2.5,"Loose, reddish-brown, silty sand, moist to wet",SM,Silty sand,14.123470815594867,blue,47,0.800000012
2,342,3,47.5741766,-122.4070567,2.5,4.300000191,"Medium dense to dense, tan-brown, mottled, silty fine sand, moist to wet",SM,Silty sand,14.123470815594867,blue,47,2.5
2,342,4,47.5741766,-122.4070567,4.300000191,9.0,"Very stiff, gray-brown, mottled, very fine sandy silt, moist, thinly bedded",ML,Sandy silt,14.123470815594867,blue,47,4.300000191
3,342,1,47.57421954,-122.4072811,0.0,1.200000048,"Duff, loose topsoil and roots, damp to moist",PT,Topsoil / vegetation,14.139236951404166,blue,44,0.0
3,342,2,47.57421954,-122.4072811,1.200000048,3.5,"Medium dense, tan-brown, silty fine sand, moist to wet beyond 2.5 ft",SM,Silty sand,14.139236951404166,blue,44,1.200000048
3,342,3,47.57421954,-122.4072811,3.5,6.0,"Very stiff, very fine sandy silt, moist to wet, thinly bedded, picks up density beyond 4 ft",ML,Sandy silt,14.139236951404166,blue,44,3.5
4,343,1,47.57495098,-122.4063185,0.0,1.0,Topsoil,Not applicable,Topsoil / vegetation,14.053694248233446,blue,37,0.0
4,343,2,47.57495098,-122.4063185,1.0,7.0,"Soft, wet, dark gray, clayey slide debris",GC,Clay,14.053694248233446,blue,37,1.0
4,343,3,47.57495098,-122.4063185,7.0,10.0,"Medium dense, wet, dark gray, clayey, blocky, slide debris",GC,Clay,14.053694248233446,blue,37,7.0
4,343,4,47.57495098,-122.4063185,10.0,13.0,"Very stiff, moist, gray, thinly bedded, silty clay",CL,Silty clay,14.053694248233446,blue,37,10.0
